Syllable	Start time	End time	Duration (s)
pha3	14.81303	15.397718	0.584688
kha3	20.303753	20.957181	0.653428
na3	26.939098	27.590012	0.650914
ka3	32.985132	33.603397	0.618265
tha3	38.995196	39.652733	0.657537
pa3	44.920594	45.481629	0.561035
ma3	51.572287	52.159173	0.586886
ta3	57.523536	58.014559	0.491023
ma2	63.295517	63.803719	0.508202
na2	68.786744	69.379	0.592256
tha2	76.000503	76.601495	0.600992
pha2	81.976994	82.555522	0.578528
ta2	86.981112	87.485381	0.504269
ka2	92.269334	92.783517	0.514183
kha2	97.966453	98.543348	0.576895
pa2	103.910549	104.41671	0.506161
ti2	110.371811	110.810425	0.438614
ki2	115.984762	116.483216	0.498454
thi2	121.168144	121.735322	0.567178
mi2	126.450663	126.984261	0.533598
ni2	131.643783	132.177381	0.533598
khi2	136.673097	137.208718	0.535621
phi2	142.237217	142.783114	0.545897
pi2	147.64169	148.103957	0.462267
khi3	155.079044	155.651209	0.572165
pi3	160.554517	161.108043	0.553526
ki3	165.60314	166.171547	0.568407
ni3	170.385458	171.014612	0.629154
phi3	175.882771	176.521385	0.638614
thi3	181.257541	181.928322	0.670781
mi3	186.323183	186.979774	0.656591
ki3	191.806508	192.411063	0.604555
ti4	198.472699	198.730037	0.257338
mi4	203.831631	204.260213	0.428582
ki4	211.252324	211.593155	0.340831
pi4	217.688967	218.059719	0.370752
phi4	223.928769	224.347472	0.418703
khi4	229.666486	230.096896	0.43041
thi4	235.687315	236.13671	0.449395
ni4	245.22869	245.649703	0.421013
phu4	251.771889	252.173979	0.40209
pu4	256.709562	257.095569	0.386007
mu4	261.693595	262.150559	0.456964
khu4	266.692298	267.114723	0.422425
ku4	272.142276	272.549097	0.406821
thu4	277.023416	277.466421	0.443005
tu4	282.832565	283.167543	0.334978
nu4	288.066427	288.55272	0.486293
pha2	293.767014	294.283222	0.516208
ma2	298.96475	299.562436	0.597686
kha2	304.291148	304.883279	0.592131
tha2	309.420754	310.025309	0.604555
ta2	314.627119	315.170178	0.543059
na2	319.315023	319.934716	0.619693
ka2	324.509838	325.051202	0.541364
pa2	329.498265	330.016312	0.518047
tha1	334.710265	335.309718	0.599453
ta1	341.345338	341.935702	0.590364
ka1	351.143855	351.721171	0.577316
kha1	363.839011	364.450189	0.611178
pa1	369.312086	369.844581	0.532495
ka1	375.532755	376.111765	0.57901
ma1	381.51681	382.110959	0.594149
na1	386.598991	387.212061	0.61307
pha1	393.421522	394.047889	0.626367
tha4	404.566581	404.940289	0.373708
pa4	409.291383	409.618732	0.327349
ta4	414.116293	414.410707	0.294414
kha4	418.679891	419.090097	0.410206
ka4	424.332946	424.721259	0.388313
ma4	429.008965	429.318338	0.309373
na4	433.908795	434.25885	0.350055
pha4	438.742398	439.085831	0.343433
pa4	444.334405	444.622964	0.288559
ka3	453.748057	454.26368	0.515623
na3	459.697417	460.27801	0.580593
pha3	464.612948	465.17784	0.564892
ta3	469.503193	470.042665	0.539472
tha3	474.603792	475.222539	0.618747
ma3	479.178165	479.749607	0.571442
kha3	484.040151	484.626731	0.58658
phu3	496.636241	497.207683	0.571442
ku3	501.599459	502.222936	0.623477
mu3	506.498779	507.140742	0.641963
khu3	511.575057	512.202354	0.627297
thu3	516.514586	517.100292	0.585706
nu3	521.659513	522.342609	0.683096
tu3	526.703577	527.246223	0.542646
pu3	535.011107	535.61444	0.603333
tu4	540.540957	540.792422	0.251465
nu4	544.986465	545.398016	0.411551
thu4	549.611372	549.991703	0.380331
pu4	554.289676	554.615272	0.325596
khu4	558.708699	559.100712	0.392013
phu4	563.367604	563.76118	0.393576
mu4	567.921163	568.319469	0.398306
ku4	573.67654	574.073624	0.397084
tu3	578.601441	579.121991	0.52055
thu3	583.385344	583.982331	0.596987
ku3	588.302314	588.845017	0.542703
phu3	596.603008	597.179174	0.576166
khu3	601.435957	602.023533	0.587576
mu3	606.419094	607.004727	0.585633
pu3	613.047461	613.58577	0.538309
nu3	618.263513	618.86996	0.606447
pu2	624.094588	624.513175	0.418587
khu2	630.920359	631.414944	0.494585
thu2	636.198884	636.683751	0.484867
mu2	643.472934	643.956389	0.483455
tu2	648.435355	648.86709	0.431735
khu2	653.137763	653.656473	0.51871
ku2	657.773519	658.272228	0.498709
nu2	663.466294	663.989485	0.523191
thu2	668.440792	668.898776	0.457984
pu2	675.569769	676.047824	0.478055
ku2	680.166535	680.665717	0.499182
khu2	684.244798	684.820024	0.575226
nu2	689.028504	689.616976	0.588472
tu2	694.517505	695.027451	0.509946
phu2	699.466532	699.984047	0.517515
mu2	704.352171	704.897122	0.544951
ti2	712.268154	712.66173	0.393576
pi2	716.850096	717.232318	0.382222
thi2	720.981924	721.422148	0.440224
phi2	725.265589	725.732561	0.466972
khi2	729.881277	730.383567	0.50229
mi2	734.537874	735.060119	0.522245
ni2	739.11887	739.67612	0.55725
ki2	743.88463	744.375378	0.490748
thi1	749.543569	750.062359	0.51879
ni1	754.779593	755.409692	0.630099
pi1	760.182745	760.691745	0.509
ti1	765.244515	765.747681	0.503166
ki1	770.06371	770.603044	0.539334
phi1	775.679504	776.214338	0.534834
mi1	780.167126	780.73573	0.568604
khi1	784.732817	785.325073	0.592256
ti4	817.603022	817.905773	0.302751
mi4	822.419596	822.866153	0.446557
pi4	827.082031	827.450062	0.368031
phi4	832.500266	832.851323	0.351057
ki4	836.823033	837.161735	0.338702
ni4	847.372947	847.777876	0.404929
thi4	852.634185	853.021138	0.386953
khi4	857.180175	857.648493	0.468318
ki2	861.713866	862.17083	0.456964
phi3	871.719115	872.30664	0.587525
pi3	876.248055	876.77032	0.522265
ni3	880.427227	881.077194	0.649967
thi3	884.861938	885.472755	0.610817
thi3	889.16039	889.783867	0.623477
mi3	893.985479	894.588142	0.602663
ti3	899.143277	899.676244	0.532967
nu1	903.453059	903.962058	0.508999
thu1	909.509018	910.018017	0.508999
phu1	920.609057	921.129956	0.520899
pu1	929.38742	929.843498	0.456078
ku1	934.067345	934.52005	0.452705
tu1	938.622814	939.031034	0.40822
khu1	942.99321	943.45687	0.46366
mu1	947.42385	947.883652	0.459802
ka4	952.318416	952.559257	0.240841
ka4	957.430804	957.739132	0.308328
ma4	961.86884	962.147938	0.279098
tha4	966.7163	967.082439	0.366139
pa4	971.258229	971.548011	0.289782
na4	976.396751	976.731669	0.334918
kha4	981.007949	981.430927	0.422978
tha4	985.807566	986.220064	0.412498
thu1	992.70082	993.207927	0.507107
pu1	1001.233124	1001.702921	0.469797
khu1	1006.247965	1006.816568	0.568603
mu1	1011.25705	1011.77078	0.51373
tu1	1016.570993	1017.00742	0.436427
ku1	1021.382166	1021.845753	0.463587
phu1	1028.00506	1028.533704	0.528644
nu1	1032.685172	1033.253776	0.568604
ki1	1038.415674	1038.891561	0.475887
khi1	1042.945057	1043.499047	0.55399
ni1	1047.83595	1048.375224	0.539274
ti1	1052.704755	1053.178553	0.473798
pi1	1057.561754	1058.021617	0.459863
phi1	1062.59898	1063.118027	0.519047
mi1	1072.137158	1072.668863	0.531705
thi1	1077.18283	1077.689794	0.506964
ka1	1095.012777	1095.4984	0.485623
pa1	1099.497851	1099.957103	0.459252
ma1	1103.539968	1104.051806	0.511838
tha1	1107.792253	1108.336981	0.544728
ka1	1112.132776	1112.634148	0.501372
na1	1116.351358	1116.96632	0.614962
kha1	1121.043293	1121.596513	0.55322
tha1	1126.064923	1126.602305	0.537382
